[2018-04-17 17:18:04,658: INFO/MainProcess] beat: Starting...
[2018-04-17 17:18:04,658: INFO/MainProcess] Writing entries (0)...
[2018-04-17 17:18:04,668: DEBUG/MainProcess] (0.002) SELECT `djcelery_periodictask`.`id`, `djcelery_periodictask`.`name`, `djcelery_periodictask`.`task`, `djcelery_periodictask`.`interval_id`, `djcelery_periodictask`.`crontab_id`, `djcelery_periodictask`.`args`, `djcelery_periodictask`.`kwargs`, `djcelery_periodictask`.`queue`, `djcelery_periodictask`.`exchange`, `djcelery_periodictask`.`routing_key`, `djcelery_periodictask`.`expires`, `djcelery_periodictask`.`enabled`, `djcelery_periodictask`.`last_run_at`, `djcelery_periodictask`.`total_run_count`, `djcelery_periodictask`.`date_changed`, `djcelery_periodictask`.`description` FROM `djcelery_periodictask` WHERE `djcelery_periodictask`.`enabled` = 1; args=(True,)
[2018-04-17 17:18:04,673: DEBUG/MainProcess] (0.003) SELECT `djcelery_crontabschedule`.`id`, `djcelery_crontabschedule`.`minute`, `djcelery_crontabschedule`.`hour`, `djcelery_crontabschedule`.`day_of_week`, `djcelery_crontabschedule`.`day_of_month`, `djcelery_crontabschedule`.`month_of_year` FROM `djcelery_crontabschedule` WHERE (`djcelery_crontabschedule`.`hour` = '4' AND `djcelery_crontabschedule`.`day_of_month` = '*' AND `djcelery_crontabschedule`.`minute` = '0' AND `djcelery_crontabschedule`.`day_of_week` = '*' AND `djcelery_crontabschedule`.`month_of_year` = '*'); args=('4', '*', '0', '*', '*')
[2018-04-17 17:18:04,677: DEBUG/MainProcess] (0.002) INSERT INTO `djcelery_crontabschedule` (`minute`, `hour`, `day_of_week`, `day_of_month`, `month_of_year`) VALUES ('0', '4', '*', '*', '*'); args=['0', '4', '*', '*', '*']
[2018-04-17 17:18:04,680: DEBUG/MainProcess] (0.000) SELECT `djcelery_periodictask`.`id`, `djcelery_periodictask`.`name`, `djcelery_periodictask`.`task`, `djcelery_periodictask`.`interval_id`, `djcelery_periodictask`.`crontab_id`, `djcelery_periodictask`.`args`, `djcelery_periodictask`.`kwargs`, `djcelery_periodictask`.`queue`, `djcelery_periodictask`.`exchange`, `djcelery_periodictask`.`routing_key`, `djcelery_periodictask`.`expires`, `djcelery_periodictask`.`enabled`, `djcelery_periodictask`.`last_run_at`, `djcelery_periodictask`.`total_run_count`, `djcelery_periodictask`.`date_changed`, `djcelery_periodictask`.`description` FROM `djcelery_periodictask` WHERE `djcelery_periodictask`.`name` = 'celery.backend_cleanup'; args=('celery.backend_cleanup',)
[2018-04-17 17:18:04,686: DEBUG/MainProcess] (0.000) SELECT `djcelery_periodictasks`.`ident`, `djcelery_periodictasks`.`last_update` FROM `djcelery_periodictasks` WHERE `djcelery_periodictasks`.`ident` = 1; args=(1,)
[2018-04-17 17:18:04,686: DEBUG/MainProcess] (0.000) SAVEPOINT `s140012856993600_x1`; args=None
[2018-04-17 17:18:04,687: DEBUG/MainProcess] (0.000) INSERT INTO `djcelery_periodictasks` (`ident`, `last_update`) VALUES (1, '2018-04-17 09:18:04'); args=(1, u'2018-04-17 09:18:04')
[2018-04-17 17:18:04,687: DEBUG/MainProcess] (0.000) RELEASE SAVEPOINT `s140012856993600_x1`; args=None
[2018-04-17 17:18:04,690: DEBUG/MainProcess] (0.002) INSERT INTO `djcelery_periodictask` (`name`, `task`, `interval_id`, `crontab_id`, `args`, `kwargs`, `queue`, `exchange`, `routing_key`, `expires`, `enabled`, `last_run_at`, `total_run_count`, `date_changed`, `description`) VALUES ('celery.backend_cleanup', 'celery.backend_cleanup', NULL, 1, '[]', '{}', NULL, NULL, NULL, NULL, 1, NULL, 0, '2018-04-17 09:18:04', ''); args=['celery.backend_cleanup', 'celery.backend_cleanup', None, 1, '[]', '{}', None, None, None, None, True, None, 0, u'2018-04-17 09:18:04', u'']
[2018-04-17 17:18:04,695: DEBUG/MainProcess] (0.000) SELECT `djcelery_periodictasks`.`ident`, `djcelery_periodictasks`.`last_update` FROM `djcelery_periodictasks` WHERE `djcelery_periodictasks`.`ident` = 1; args=(1,)
[2018-04-17 17:18:04,696: DEBUG/MainProcess] (0.000) SELECT `djcelery_periodictasks`.`ident`, `djcelery_periodictasks`.`last_update` FROM `djcelery_periodictasks` WHERE `djcelery_periodictasks`.`ident` = 1; args=(1,)
[2018-04-17 17:18:04,698: DEBUG/MainProcess] (0.000) SELECT `djcelery_periodictasks`.`ident`, `djcelery_periodictasks`.`last_update` FROM `djcelery_periodictasks` WHERE `djcelery_periodictasks`.`ident` = 1; args=(1,)
[2018-04-17 17:18:09,698: INFO/MainProcess] Writing entries (0)...
[2018-04-17 17:18:09,702: DEBUG/MainProcess] (0.000) SELECT `djcelery_periodictasks`.`ident`, `djcelery_periodictasks`.`last_update` FROM `djcelery_periodictasks` WHERE `djcelery_periodictasks`.`ident` = 1; args=(1,)
